wca_id,competition_id,competition_country,home_country,distance_km
2014MILL04,PuzzlingPapakura2021,New Zealand,United Kingdom,18605.941064315648
2014MILL04,LytteltonSpring2021,New Zealand,United Kingdom,18605.941064315648
2014MILL04,LytteltonAutumn2022,New Zealand,United Kingdom,18605.941064315648
2014MILL04,LytteltonSpring2022,New Zealand,United Kingdom,18605.941064315648
2014MILL04,LytteltonSpring2023,New Zealand,United Kingdom,18605.941064315648
2014MILL04,LytteltonSummer2024,New Zealand,United Kingdom,18605.941064315648
2014MILL04,MilfordWinterWarmUp2025,New Zealand,United Kingdom,18605.941064315648
2011CHIE01,SlowDownPerth2019,Australia,United Kingdom,15366.359174273792
2021PIER01,TryCubingSaintHelens2024,Australia,Switzerland,14833.177186910763
2016CHAI03,MedanMiniAllEvents2019,Indonesia,USA,14489.1154287529
2011ALVI01,SanFranciscoBayOpen2017,USA,Indonesia,14489.1154287529
2011ALVI01,BASC82016,USA,Indonesia,14489.1154287529
2019LINJ04,PhitsanulokCubeFest2025,Thailand,USA,13597.241369514295
2019LINJ04,BangkokSummer2024,Thailand,USA,13597.241369514295
2016CHIL02,IlliNxNoisSpring2025,USA,India,13018.637217848278
2016CHIL02,UIUCSideEventsSpring2025,USA,India,13018.637217848278
2016CHIL02,UIUCFall2023,USA,India,13018.637217848278
2014GROV01,NationalCubingRegion2014,India,USA,13018.637217848278
2016CHIL02,UIUCBigCubesSpring2024,USA,India,13018.637217848278
2014GROV01,NationalCubingRegion2015,India,USA,13018.637217848278
2015IYER05,WPIWinter2024,USA,India,13018.637217848278
2015IYER05,FMCWPI2024,USA,India,13018.637217848278
2003HARD01,MontfortChampionship2016,India,USA,13018.637217848278
2017PALA08,CubingForLLSSummer2019,India,USA,13018.637217848278
2017FARA06,BangladeshCubingFiesta2019,Bangladesh,USA,12895.072750824584
2017FARA06,DinajpurCubingOpen2019,Bangladesh,USA,12895.072750824584
2021KHAN05,CubeChroniclesUttara2025,Bangladesh,USA,12895.072750824584
2017FARA06,KnightsCubingOpen2019,Bangladesh,USA,12895.072750824584
2008REMO01,CebuNewYearOpen2023,Philippines,USA,12867.830459113564
2010VILL03,DFWBacktoSchool2024,USA,Philippines,12867.830459113564
2017ALMO03,EgyptFall2024,Egypt,Australia,12646.998118426625
2019SAMU06,LagosOpen2022,Nigeria,Philippines,12450.741201062516
2019SAMU06,NigerianChampionship2023,Nigeria,Philippines,12450.741201062516
